,name,10-K,exibit,xbrl,EXCEL,GRAPHIC,JSON,XML,ZIP,CORRESP,COVER,RENDERED
84,0001104659-18-009493.txt,1,12,6,1,41,0,134,1,0,0,0
85,0000004977-18-000054.txt,1,8,6,1,2,0,151,1,0,0,0
86,0000103379-18-000003.txt,1,9,6,1,2,0,135,1,0,0,0
87,0001564590-18-014310.txt,1,10,6,1,8,0,73,1,0,0,0
88,0000702165-18-000011.txt,1,11,6,1,2,0,90,1,0,0,0
89,0000096943-15-000023.txt,1,12,6,2,6,0,117,1,0,0,0
90,0000779152-12-000051.txt,1,6,6,1,1,0,70,1,0,0,0
91,0000063908-16-000103.txt,2,8,6,1,1,0,71,1,0,0,0
92,0000004962-18-000032.txt,1,8,6,1,3,0,147,1,0,0,0
93,0001564590-17-001559.txt,1,11,6,1,7,0,121,1,0,0,0
94,0001193125-12-081067.txt,1,15,6,1,2,0,118,1,0,0,0
95,0000004904-13-000025.txt,1,47,6,1,2,0,80,1,0,1,0
96,0001104659-12-012448.txt,1,10,6,1,1,0,72,1,0,0,0
97,0000093556-16-000051.txt,1,10,6,1,2,0,133,1,0,0,0
98,0001193125-10-042929.txt,1,11,6,1,19,0,29,0,0,1,0
99,0000093751-19-000336.txt,1,12,6,1,43,0,144,1,0,0,0
100,0001601046-17-000033.txt,1,6,6,1,0,0,123,1,0,0,0
101,0000106640-18-000019.txt,1,7,6,1,48,0,98,1,0,0,0
102,0001051470-13-000007.txt,1,12,6,1,1,0,86,1,0,0,0
103,0001047469-15-001276.txt,1,7,6,2,3,0,142,1,0,0,0
104,0001014473-14-000006.txt,1,7,6,2,1,0,79,1,0,0,0
105,0000019617-15-000272.txt,1,7,6,2,13,0,217,1,0,0,0
106,0001193125-14-065153.txt,1,6,6,2,3,0,83,1,0,0,0
107,0001193125-15-069699.txt,1,25,6,2,1,0,83,1,0,0,0
108,0001086222-18-000052.txt,1,8,6,1,19,0,93,1,0,0,0
109,0000089800-13-000046.txt,1,14,6,1,26,0,90,1,0,0,0
110,0000051253-17-000004.txt,1,9,6,1,2,0,112,1,0,0,0
111,0000900075-17-000044.txt,1,6,6,1,1,0,92,1,0,0,0
112,0001175454-19-000004.txt,1,7,6,1,2,0,98,1,0,0,0
113,0000021344-18-000008.txt,1,10,6,1,9,0,96,1,0,0,0
114,0001193125-12-078393.txt,1,7,6,1,2,0,62,1,0,0,0
115,0001564590-17-017693.txt,1,6,6,1,0,0,155,1,0,0,0
116,0001365135-15-000008.txt,1,6,6,2,0,0,103,1,0,0,0
117,0000950123-10-106707.txt,1,7,6,1,1,0,26,1,0,0,0
118,0001193125-11-029695.txt,1,10,6,1,1,0,70,1,0,0,0
119,0000020286-16-000055.txt,1,4,6,1,1,0,108,1,0,0,0
120,0000731766-13-000005.txt,1,11,6,1,4,0,96,1,0,0,0
121,0001534701-13-000006.txt,1,16,6,1,3,0,131,1,0,0,0
122,0001140536-17-000008.txt,1,7,6,1,3,0,144,1,0,0,0
123,0001193125-11-039822.txt,1,23,6,1,4,0,126,1,0,0,0
124,0000097745-18-000006.txt,1,6,6,1,0,0,89,1,0,0,0
125,0000950123-11-018967.txt,1,9,6,1,4,0,24,1,0,0,0
126,0001170010-18-000054.txt,1,9,6,1,4,0,92,1,0,0,0
127,0001047469-15-000858.txt,1,8,6,2,0,0,68,1,0,0,0
128,0000054480-16-000143.txt,1,7,6,1,12,0,101,1,0,0,0
129,0001140361-13-008903.txt,1,9,6,1,1,0,119,1,0,0,0
130,0001193125-12-067225.txt,1,10,0,0,1,0,0,0,0,0,0
131,0001193125-12-081638.txt,1,6,6,1,1,0,84,1,0,0,0
132,0000029905-12-000008.txt,1,10,6,1,2,0,64,1,0,0,0
133,0001193125-12-478705.txt,1,8,6,1,0,0,104,1,0,0,0
134,0001141391-14-000003.txt,1,7,6,2,1,0,111,1,0,0,0
135,0000723125-10-000174.txt,1,14,0,0,2,0,0,0,0,0,0
136,0001193125-15-069449.txt,1,7,6,2,1,0,125,1,0,0,0
137,0001564590-17-002326.txt,1,9,6,1,1,0,95,1,0,0,0
138,0001047469-16-010135.txt,1,19,6,1,12,0,139,1,0,0,0
139,0001596532-15-000004.txt,1,6,6,2,6,0,70,1,0,0,0
140,0000008670-13-000015.txt,1,7,6,1,2,0,189,1,0,0,0
141,0001038357-17-000012.txt,1,17,6,1,3,0,93,1,0,0,0
142,0000065984-10-000035.txt,1,58,0,0,1,0,0,0,0,0,0
143,0000779152-14-000036.txt,1,6,6,2,1,0,73,1,0,0,0
