,count
661,38094
662,35170
663,68376
664,25812
665,23208
666,4
667,31330
668,38765
669,46685
670,33820
671,38430
672,38999
673,18794
674,37503
675,64402
676,51687
677,95954
678,43282
679,33423
680,57605
681,27074
682,31880
683,0
684,39906
685,43693
686,31183
687,33131
688,52770
689,15303
690,22160
691,39679
692,67081
693,40652
694,58188
695,36151
696,38175
697,0
698,42527
699,62984
700,43651
701,39838
702,70375
703,47885
704,164954
705,37304
706,0
707,42456
708,42989
709,169859
710,98519
711,32275
712,28161
713,68794
714,21012
715,1
716,66314
717,47199
718,43850
719,46821
720,73420
721,68066
722,48314
723,0
724,0
725,72466
726,17731
727,0
728,36187
729,28490
730,255344
731,226710
732,64035
733,176613
734,52932
735,23751
736,45957
737,42072
738,41446
739,0
740,53537
741,57268
742,67907
743,44313
744,28722
745,37117
746,90086
747,44934
748,54021
749,38593
750,69177
751,46085
752,1
753,48784
754,39557
755,34012
756,49121
757,28024
758,46740
759,25237
760,69752
761,3
762,30066
763,42986
764,59414
765,58739
766,46575
767,47375
768,103405
769,129470
770,37098
771,28492
772,43126
773,31631
774,20444
775,0
776,134382
777,58652
778,50429
779,29157
780,70635
781,0
782,29007
783,0
784,33879
785,35629
786,27375
787,70742
788,32789
789,220905
790,79586
791,99206
792,65509
793,23713
794,0
795,139686
796,43290
797,100495
798,2
799,55599
800,25523
801,50994
802,53966
803,172604
804,47988
805,0
806,41477
807,33309
808,34072
809,289270
810,45003
811,47683
812,58486
813,17732
814,24028
815,355043
816,101798
817,60247
818,135045
819,98270
820,55533
821,42019
822,25837
823,54482
824,124313
825,54465
826,56715
827,35934
828,0
829,46094
830,0
831,73175
832,53544
833,101176
834,36279
835,27122
836,2
837,0
838,32396
839,75089
840,82715
841,42065
842,71120
843,36449
844,46329
845,11
846,33321
847,115503
848,45790
849,79331
850,40936
851,24097
852,43940
853,123692
854,45885
855,62117
856,40298
857,40490
858,65841
859,0
860,47141
861,45589
862,0
863,57711
864,103555
865,58089
866,43218
867,0
868,36364
869,46341
870,121388
871,50981
872,128414
873,84306
874,30332
875,0
876,56664
877,97097
878,34829
879,105331
880,0
881,0
882,54006
883,27071
884,53023
885,58529
886,0
887,0
888,16
889,35039
890,38729
891,47147
892,20648
893,51936
894,26699
895,44036
896,26993
897,45790
898,34276
899,41391
900,87123
901,36835
902,69097
903,22822
904,42990
905,76027
906,80693
907,42287
908,114672
909,40618
910,43440
911,6
912,79022
913,80956
914,37508
915,50845
916,77787
917,0
918,29085
919,121222
920,40112
921,53604
922,88960
923,1
924,160689
925,43263
926,0
927,1
928,72264
929,22897
930,41502
931,46681
932,24543
933,43842
934,40277
935,0
936,0
937,1
938,122249
939,80842
940,16483
941,64670
942,37919
943,2
944,41402
945,45072
946,153741
947,73166
948,50633
949,34044
950,55340
951,14627
952,0
953,26938
954,51859
955,42348
956,20820
957,36416
958,37181
959,28549
960,25732
961,40565
962,33808
963,62039
964,30595
965,60434
966,41250
967,115158
968,142868
969,53855
970,2
971,37264
972,0
973,86049
974,75063
975,725720
976,0
977,42712
978,27798
979,127899
980,59745
981,0
982,30648
983,0
984,119736
985,31639
986,35003
987,23831
988,60338
989,39923
990,29185
991,42519
992,66874
993,24607
994,38400
995,26174
996,0
997,60052
998,36984
999,0
1000,204884
1001,50668
1002,59629
1003,42571
1004,58302
1005,52256
1006,77699
1007,67293
1008,50117
1009,52075
1010,17804
1011,95374
1012,47688
1013,40152
1014,52641
1015,69878
1016,22250
1017,98219
1018,57207
1019,30440
1020,60648
1021,0
1022,125380
1023,91962
1024,61449
1025,27418
1026,26682
1027,111084
1028,16732
1029,0
1030,0
1031,150944
1032,69988
1033,0
1034,39133
1035,76023
1036,177530
1037,93028
1038,25926
1039,0
1040,71977
1041,0
1042,35610
1043,73176
1044,32188
1045,82384
1046,33898
1047,127837
1048,72785
1049,60876
1050,29708
1051,54378
1052,44252
1053,12
1054,43785
1055,31375
1056,37921
1057,41588
1058,25356
1059,0
