,name,cik,year,number,character_count,word_count,important_words,frequent_words
3319,0000827054-19-000143,827054,19,143,150448,22290,"['zero', 'equipment', 'equity', 'equival', 'equivalents', 'esop', 'establish', 'estim', 'etc', 'even', 'event', 'events', 'evid', 'exact', 'exampl']","[('amount', 384), ('tax', 247), ('incom', 161), ('includ', 156), ('valu', 154), ('asset', 153), ('report', 136), ('period', 129), ('oper', 128), ('the', 127), ('expens', 115), ('debt', 114), ('fair', 109), ('one', 108), ('benefit', 105)]"
3320,0001521332-13-000010,1521332,13,10,379708,57309,"['zone', 'disclosures', 'discuss', 'discretionari', 'discret', 'discoveri', 'discounts', 'discount', 'discontinu', 'disclosure', 'doe', 'disclosur', 'discloses', 'disclosed', 'disclos']","[('the', 575), ('amount', 484), ('incom', 416), ('asset', 388), ('valu', 377), ('tax', 371), ('net', 354), ('includ', 338), ('benefit', 295), ('million', 261), ('period', 259), ('delphi', 253), ('fair', 236), ('share', 233), ('interest', 230)]"
3321,0000004977-14-000052,4977,14,52,369281,55433,"['zero', 'diversif', 'divisions', 'dividends', 'dividend', 'divid', 'diversification', 'diversifi', 'distributions', 'documentation', 'distribut', 'disposit', 'dispos', 'dispersion', 'dispers']","[('amount', 501), ('valu', 468), ('the', 392), ('fair', 386), ('secur', 381), ('tax', 337), ('incom', 310), ('invest', 307), ('includ', 297), ('rate', 282), ('net', 276), ('interest', 265), ('benefit', 249), ('hedg', 244), ('cost', 229)]"
3322,0000072333-13-000039,72333,13,39,186047,28630,"['zero', 'eight', 'dynamics', 'earli', 'earn', 'earned', 'earnings', 'ebitdar', 'econom', 'edit', 'educ', 'effect', 'effort', 'either', 'due']","[('the', 263), ('amount', 250), ('includ', 209), ('valu', 192), ('tax', 167), ('share', 165), ('cost', 162), ('benefit', 160), ('stock', 149), ('asset', 139), ('account', 130), ('net', 128), ('period', 128), ('credit', 125), ('expens', 124)]"
3323,0001193125-12-249215,1193125,12,249215,387192,58108,"['zero', 'document', 'domestic', 'domest', 'domain', 'dollars', 'dollar', 'doe', 'divis', 'contract', 'dividends', 'dividend', 'diversifi', 'diversif', 'divers']","[('the', 768), ('compani', 434), ('tax', 430), ('valu', 382), ('incom', 345), ('amount', 314), ('stock', 300), ('asset', 297), ('includ', 289), ('fair', 278), ('share', 261), ('net', 245), ('company’', 238), ('period', 231), ('fiscal', 230)]"
3324,0001618034-15-000005,1618034,15,5,278268,42337,"['zero', 'diversif', 'doj', 'doe', 'document', 'division', 'dividends', 'dividend', 'diversifi', 'disturb', 'desir', 'district', 'distributor', 'distributions', 'distribution']","[('amount', 442), ('the', 360), ('tax', 300), ('asset', 299), ('includ', 225), ('benefit', 211), ('period', 206), ('valu', 203), ('share', 196), ('incom', 193), ('million', 187), ('oper', 182), ('plan', 172), ('stock', 167), ('fair', 146)]"
3325,0001628280-15-005333,1628280,15,5333,322041,49042,"['zone', 'discoveri', 'divestitures', 'divestiture', 'divestitur', 'divest', 'diversifi', 'diversif', 'district', 'distributions', 'distribut', 'disposit', 'disposal', 'dispos', 'dispers']","[('amount', 493), ('the', 374), ('asset', 371), ('million', 363), ('valu', 349), ('fiscal', 310), ('tax', 292), ('includ', 276), ('benefit', 255), (',', 246), ('plan', 231), ('fair', 230), ('expens', 228), ('incom', 226), ('net', 222)]"
3326,0001193125-12-076937,1193125,12,76937,324755,49156,"['yet', 'discoveri', 'discuss', 'dispers', 'dispos', 'disposal', 'disposit', 'disput', 'disputes', 'distribut', 'distributions', 'divest', 'divestitur', 'divid', 'dividend']","[('the', 590), ('asset', 414), ('compani', 397), ('amount', 362), ('valu', 344), ('oper', 293), ('tax', 292), ('oil', 286), ('net', 280), ('includ', 254), ('fair', 252), ('ga', 240), ('incom', 225), ('cash', 215), ('expens', 214)]"
3327,0001193125-14-068001,1193125,14,68001,340667,51652,"['zero', 'disclosures', 'discuss', 'discretionari', 'discret', 'discounts', 'discount', 'discontinu', 'disclosure', 'dispos', 'disclosur', 'discloses', 'disclosed', 'disclos', 'disabl']","[('the', 505), ('amount', 500), ('compani', 399), ('asset', 379), ('tax', 313), ('oper', 293), ('cash', 275), ('includ', 273), ('valu', 272), ('year', 267), ('million', 260), ('incom', 251), ('interest', 243), ('share', 195), ('expens', 192)]"
3328,0000702165-16-000162,702165,16,162,188030,28808,"['zero', 'domain', 'dilutive', 'direct', 'directli', 'director', 'directors', 'disability', 'disclos', 'disclosed', 'disclosur', 'disclosure', 'disclosures', 'discontinu', 'discount']","[('amount', 277), ('benefit', 203), ('tax', 202), ('asset', 191), ('includ', 188), ('incom', 185), ('the', 176), ('valu', 168), ('period', 163), ('use', 143), ('plan', 143), ('year', 130), ('cost', 128), ('share', 126), ('liabil', 125)]"
3329,0001193125-11-051378,1193125,11,51378,19,2,"['terselabel', 'durat']","[('terselabel', 1), ('durat', 1)]"
3330,0001047122-18-000022,1047122,18,22,317648,47857,"['zero', 'drawdown', 'dure', 'durat', 'due', 'drug', 'driven', 'drawn', 'doubt', 'earli', 'done', 'domicile', 'domest', 'domain', 'dollar']","[('amount', 408), ('the', 311), ('benefit', 308), ('asset', 303), ('tax', 291), ('includ', 281), ('incom', 262), ('valu', 255), ('cash', 245), ('cost', 235), ('period', 234), ('use', 223), ('report', 211), ('plan', 210), ('net', 205)]"
3331,0001193125-14-309269,1193125,14,309269,622358,94457,"['zweifach', 'deficit', 'defendants', 'defend', 'default', 'deem', 'deductions', 'deduct', 'dedic', 'decreases', 'decrease', 'decreas', 'deconsolidation', 'decline', 'declin']","[('the', 1016), ('compani', 860), ('tax', 761), ('asset', 658), ('amount', 593), ('company’', 523), ('includ', 490), ('benefit', 485), ('net', 475), ('incom', 464), ('valu', 457), ('year', 435), ('fiscal', 420), ('—', 411), ('june30,', 400)]"
3332,0000014272-14-000054,14272,14,54,325099,48962,"['zymogenetics', 'disorders', 'distribut', 'disrupt', 'disputes', 'disput', 'disposit', 'disposal', 'dispos', 'disoproxil', 'distributed', 'dismissed', 'dismiss', 'diseases', 'diseas']","[('amount', 527), ('the', 437), ('tax', 373), ('asset', 325), ('includ', 323), ('incom', 310), ('valu', 309), ('benefit', 239), ('net', 218), ('recogn', 202), ('use', 186), ('sale', 185), ('fair', 182), ('cost', 181), ('million', 178)]"
3333,0000950123-10-015380,950123,10,15380,0,0,0,0
3334,0001193125-12-312306,1193125,12,312306,362105,54552,"['youth', 'direct', 'depend', 'deplet', 'deposit', 'depreci', 'depreciation', 'deriv', 'derivative', 'derivatives', 'derivativesform', 'describ', 'descript', 'design', 'designated']","[('the', 612), ('valu', 468), ('tax', 430), ('compani', 429), ('asset', 374), ('fair', 365), ('amount', 329), ('incom', 318), ('includ', 267), ('cash', 266), ('deriv', 247), ('expens', 244), ('net', 229), ('$', 229), ('may31,', 226)]"
3335,0000064803-15-000008,64803,15,8,230309,34721,"['zero', 'document', 'dispensed', 'dispensing', 'dispers', 'dispos', 'disposal', 'disposit', 'distinct', 'distribut', 'distributed', 'distributor', 'district', 'dividend', 'dividends']","[('the', 430), ('amount', 331), ('compani', 209), ('tax', 202), ('share', 201), ('asset', 195), ('million', 190), ('includ', 182), ('incom', 172), ('stock', 166), ('oper', 144), ('valu', 143), ('use', 142), ('cost', 138), ('net', 132)]"
3336,0000009389-11-000014,9389,11,14,0,0,0,0
3337,0000070858-16-000137,70858,16,137,714921,107151,"['zero', 'derecognit', 'desk', 'desir', 'designed', 'design', 'descript', 'describ', 'derivatives', 'derivative', 'deriv', 'derecognition', 'derecogn', 'details', 'depreciation']","[('the', 937), ('valu', 930), ('fair', 888), ('loan', 871), ('amount', 857), ('includ', 796), ('corpor', 687), ('asset', 646), ('secur', 585), ('loss', 478), ('credit', 465), ('interest', 457), ('financi', 455), ('use', 454), ('net', 445)]"
3338,0001047469-13-001954,1047469,13,1954,400210,59780,"['yield', 'earn', 'earnings', 'econom', 'economy', 'educ', 'edward', 'edwards', 'effect', 'effective', 'effects', 'effort', 'either', 'elect', 'elected']","[('the', 792), ('tax', 496), ('amount', 452), ('compani', 406), ('valu', 381), ('asset', 377), ('stock', 372), ('net', 360), ('incom', 318), ('period', 299), ('fair', 299), ('benefit', 296), ('cost', 283), ('share', 278), ('includ', 256)]"
3339,0001193125-17-030512,1193125,17,30512,353610,53197,"['yet', 'dividend', 'dispos', 'disposed', 'disposit', 'dispositions', 'disregard', 'distinct', 'distribut', 'distribution', 'distributions', 'distributor', 'diversifi', 'divestitur', 'divestitures']","[('amount', 461), ('the', 383), ('includ', 351), ('asset', 333), ('tax', 327), ('cost', 312), ('valu', 278), ('We', 272), ('financi', 265), ('incom', 265), ('use', 258), ('period', 254), ('cash', 238), ('fair', 234), ('account', 222)]"
3340,0000037996-12-000007,37996,12,7,529588,80803,"['zhejiang', 'deviat', 'deplet', 'depend', 'denomin', 'demograph', 'deminimi', 'demand', 'deliveri', 'deliver', 'deliv', 'delisted', 'delinquency', 'delinquencies', 'delinqu']","[('the', 727), ('valu', 591), ('—', 566), ('amount', 546), ('asset', 489), ('includ', 487), ('cash', 425), ('balanc', 409), ('net', 406), ('financi', 395), ('fair', 378), ('receiv', 376), ('tax', 369), ('use', 346), ('incom', 344)]"
3341,0001193125-19-048576,1193125,19,48576,617877,94544,"['zero', 'england', 'elected', 'elect', 'either', 'eight', 'egul', 'egrat', 'egat', 'effort', 'effects', 'effectiveness', 'effect', 'een', 'educ']","[('the', 956), ('compani', 817), ('amount', 776), ('tax', 551), ('asset', 490), ('valu', 443), ('includ', 401), ('cost', 379), ('period', 375), ('note', 372), ('relat', 367), ('incom', 364), ('account', 351), ('oper', 344), ('rate', 343)]"
